,Plant_Type,Leaf_Color,Leaf_Spot_Size,Humidity,Temperature,Disease_Status
0,Corn,Brown,0.3793793793793794,0.6579386257505004,0.784,Mild Infection
1,Potato,Brown,0.6956956956956957,0.2615076717811875,0.9785000000000001,Mild Infection
2,Corn,Yellow,0.3073073073073073,0.9367911941294196,0.7145000000000001,Healthy
3,Rice,Yellow,0.04904904904904905,0.957638425617078,0.08550000000000013,Healthy
4,Rice,Green,0.15715715715715714,0.22248165443629098,0.5615000000000001,Severe Infection
5,Corn,Brown,0.5695695695695696,0.2118078719146098,0.03400000000000003,Healthy
6,Potato,Brown,0.03903903903903904,0.3805870580386925,0.7765000000000002,Healthy
7,Wheat,Green,0.9699699699699699,0.061541027351567745,0.938,Healthy
8,Tomato,Yellow,0.9409409409409409,0.5600400266844563,0.6935000000000002,Mild Infection
9,Potato,Yellow,0.8408408408408408,0.27868579052701803,0.9390000000000001,Healthy
10,Corn,Yellow,0.5295295295295295,0.04936624416277524,0.5855000000000001,Healthy
11,Wheat,Yellow,0.07707707707707707,0.857738492328219,0.5955000000000001,Healthy
12,Potato,Yellow,0.4764764764764764,0.9441294196130756,0.5985,Healthy
13,Potato,Green,0.023023023023023018,0.14292861907938637,0.47550000000000026,Severe Infection
14,Potato,Green,0.16516516516516513,0.6095730486991329,0.9320000000000002,Mild Infection
15,Wheat,Green,0.7057057057057057,0.9402935290193464,0.7560000000000002,Healthy
16,Tomato,Green,0.6776776776776777,0.8202134756504338,0.18599999999999994,Severe Infection
17,Tomato,Yellow,0.8658658658658658,0.8967645096731156,0.635,Healthy
18,Corn,Green,0.5785785785785785,0.7626751167444963,0.0515000000000001,Healthy
19,Wheat,Brown,0.988988988988989,0.34389593062041357,0.7400000000000002,Healthy
20,Tomato,Yellow,0.18418418418418417,0.9689793195463643,0.32400000000000007,Healthy
21,Potato,Yellow,0.8338338338338338,0.7039693128752502,0.784,Mild Infection
22,Tomato,Brown,0.7387387387387386,0.5587058038692463,0.2869999999999999,Healthy
23,Wheat,Yellow,0.7267267267267267,0.6435957304869913,0.09550000000000003,Severe Infection
24,Wheat,Brown,0.6196196196196196,0.3022014676450967,0.5835000000000001,Healthy
25,Corn,Brown,0.44144144144144143,0.15560373582388265,0.11699999999999999,Mild Infection
26,Wheat,Brown,0.35935935935935936,0.885757171447632,0.45399999999999996,Healthy
27,Rice,Brown,0.17317317317317316,0.8585723815877251,0.3720000000000001,Healthy
28,Potato,Green,0.6326326326326326,0.08388925950633763,0.8165,Healthy
29,Corn,Brown,0.13213213213213212,0.5431954636424283,0.5940000000000001,Healthy
30,Corn,Yellow,0.7277277277277278,0.30787191460973995,0.08200000000000007,Healthy
